dataset,split,num_examples,label_counts
MNLI,train,20000,"{""neutral"": 6668, ""entailment"": 6666, ""contradiction"": 6666}"
ANLI,train,20000,"{""neutral"": 6667, ""entailment"": 6667, ""contradiction"": 6666}"
WANLI,train,20000,"{""neutral"": 6667, ""entailment"": 6667, ""contradiction"": 6666}"
GNLI_PROXY,train,9120,"{""entailment"": 3044, ""neutral"": 3041, ""contradiction"": 3035}"
MNLI+GNLI_PROXY,train,22120,"{""entailment"": 7378, ""neutral"": 7374, ""contradiction"": 7368}"
ANLI+GNLI_PROXY,train,22120,"{""entailment"": 7377, ""neutral"": 7375, ""contradiction"": 7368}"
WANLI+GNLI_PROXY,train,22120,"{""entailment"": 7378, ""neutral"": 7374, ""contradiction"": 7368}"
MNLI+ANLI+WANLI,train,25998,"{""entailment"": 8668, ""contradiction"": 8666, ""neutral"": 8664}"
ENHANCED_ALL_PUBLIC+GNLI_PROXY,train,26000,"{""contradiction"": 8667, ""entailment"": 8667, ""neutral"": 8666}"
MNLI,eval,2500,"{""neutral"": 834, ""entailment"": 833, ""contradiction"": 833}"
ANLI,eval,2500,"{""neutral"": 834, ""entailment"": 833, ""contradiction"": 833}"
WANLI,eval,2500,"{""neutral"": 877, ""entailment"": 867, ""contradiction"": 756}"
GNLI_PROXY,eval,2280,"{""contradiction"": 765, ""neutral"": 759, ""entailment"": 756}"
